0 0 0 0 0 0 1 1 0 0 2 0 3 0 0 0 0 3 0 0 1 0 0 0 0 1
0 0 0 0 0 0 1 1 0 0 1 0 3 0 0 0 0 3 0 0 1 0 0 1 0 1
0 0 0 0 0 0 1 1 0 0 1 0 3 0 0 0 0 0 0 0 1 0 0 4 0 1
0 0 0 0 0 0 1 1 1 0 3 0 3 0 0 0 0 0 0 0 1 0 0 8 0 1
0 0 0 0 0 0 1 0 1 0 3 0 3 0 0 0 0 0 0 1 1 2 0 15 0 1
0 0 0 0 0 0 0 0 1 0 4 0 3 0 0 1 0 0 0 1 1 2 0 23 0 2
0 0 0 0 0 0 0 0 1 0 4 0 3 0 0 1 0 0 0 1 1 2 0 32 0 2
0 0 0 0 0 0 0 0 1 0 4 0 4 0 0 1 0 0 0 1 1 3 0 34 0 2
0 0 0 0 0 0 0 0 2 0 5 0 7 0 0 1 1 0 0 1 1 4 0 37 0 1
0 0 0 0 0 0 0 0 2 1 5 0 10 0 0 1 1 0 0 1 0 4 0 37 0 1
0 0 0 0 0 0 0 0 2 1 5 0 10 0 0 1 1 0 0 1 0 4 0 38 0 1
0 0 0 0 0 0 0 0 2 1 5 0 11 0 0 1 1 0 0 1 0 4 0 40 0 1
0 0 0 0 0 0 0 0 2 1 7 0 12 0 0 1 1 0 0 1 0 5 0 43 0 1
0 0 0 0 0 0 0 0 2 1 7 0 19 0 0 1 1 0 0 1 0 6 0 40 0 1
0 0 0 0 0 0 0 0 2 2 4 0 27 0 0 1 1 0 0 1 0 6 0 39 0 1
0 0 0 0 0 0 0 0 2 4 4 0 36 0 0 1 1 0 0 0 0 4 0 33 0 1
0 0 0 0 0 0 0 0 3 6 3 0 39 0 0 0 1 0 0 0 0 5 0 26 0 0
0 0 0 1 0 0 0 0 3 6 3 0 39 0 0 0 1 0 0 0 1 5 0 19 0 0
0 0 0 1 0 0 0 0 3 6 3 0 38 0 0 0 1 2 0 2 1 4 0 17 0 1
0 0 0 1 0 0 0 0 2 6 2 0 35 0 0 0 0 3 0 3 3 3 0 14 0 1
0 0 0 1 0 0 0 0 2 5 2 0 30 0 0 0 0 3 0 3 5 3 0 14 0 1
0 0 0 1 0 0 0 0 3 5 2 0 30 0 0 0 1 3 0 3 6 3 0 13 0 1
0 0 0 1 0 0 0 0 3 5 2 0 28 0 0 0 1 3 0 3 6 3 0 11 0 1
0 0 0 1 0 0 0 0 3 6 0 0 27 0 0 0 1 3 0 3 6 2 0 7 0 1
0 0 0 1 0 0 0 0 3 6 0 0 20 0 0 0 1 3 0 3 6 1 0 7 0 1
0 0 0 2 0 0 0 0 2 5 0 0 12 0 0 0 1 3 0 3 6 1 0 4 0 2
0 0 0 2 0 0 0 0 2 3 0 0 3 0 0 0 1 3 0 3 6 1 0 3 0 2
0 0 0 2 0 0 0 0 1 1 0 0 0 0 1 0 1 3 0 3 6 0 0 2 0 4
0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 3 0 3 5 0 0 0 0 4
0 0 0 1 0 0 0 0 4 1 0 0 0 0 1 0 1 1 0 1 5 0 0 0 0 3
0 1 0 1 0 0 0 0 4 1 0 0 0 0 1 0 1 0 0 0 3 0 0 0 0 3
0 4 0 1 0 0 2 0 4 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 3
0 4 0 1 0 0 2 0 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3
0 4 0 1 0 0 2 0 3 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3
0 4 0 1 0 0 2 0 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3
0 4 0 2 0 0 2 0 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3
0 4 0 1 0 0 2 0 3 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 2
0 4 0 1 0 0 2 0 3 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 2
0 4 0 2 0 0 2 0 3 0 0 0 0 0 0 1 0 0 0 2 3 0 0 0 0 0
0 4 0 2 0 0 3 0 3 0 0 0 0 0 0 1 0 0 0 2 3 0 0 0 0 0
0 4 0 2 0 0 3 0 0 0 0 0 0 0 0 1 0 2 0 2 7 0 0 0 0 0
0 3 0 2 0 0 3 0 0 2 0 0 0 0 0 1 0 2 0 3 7 0 0 0 0 0
0 0 0 2 0 0 1 0 0 2 0 0 0 0 0 1 0 2 0 3 7 0 0 0 0 0
0 1 0 2 0 0 1 0 0 2 0 0 0 0 0 1 0 2 0 3 7 0 0 0 0 1
0 3 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 2 1 3 7 0 0 0 0 1
0 3 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 2 1 3 7 0 0 0 0 1
0 3 1 1 0 0 1 0 0 2 0 0 0 0 0 0 0 2 1 3 7 0 0 0 0 1
0 3 1 1 0 0 1 0 0 2 0 0 0 0 0 0 0 2 1 2 7 0 0 0 0 1
0 4 1 1 1 0 1 0 0 2 0 0 0 0 0 0 0 2 1 2 7 0 0 0 0 1
0 4 1 0 1 0 1 0 0 2 0 0 0 0 0 0 0 2 1 1 4 0 0 0 0 1
0 4 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 2 1 1 4 0 0 0 0 1
0 4 1 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1
0 4 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
0 4 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
0 4 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0
0 2 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 2
0 2 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 2 1 3 0 0 0 2
0 2 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 2 1 3 0 0 0 2
0 2 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 2 3 3 0 0 0 2
0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 2 3 4 0 0 0 2
0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 2 3 4 0 0 0 2
0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 1 0 2 7 6 0 0 0 4
0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 2 7 7 0 0 0 5
0 1 0 0 0 1 1 0 0 3 0 0 0 0 0 0 2 2 0 2 8 7 0 0 0 5
0 1 0 0 0 1 1 0 0 7 0 0 0 0 0 0 2 5 0 2 12 7 0 0 0 5
0 0 0 0 0 1 0 0 0 7 0 0 0 0 0 0 2 5 0 2 11 6 0 0 0 5
0 0 0 0 0 1 0 0 0 7 0 0 0 0 0 0 2 7 0 1 13 5 0 0 0 3
0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 2 8 0 0 14 4 0 0 0 3
0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 2 9 0 0 15 4 0 0 0 4
0 0 0 0 0 0 1 0 0 7 0 0 0 0 0 0 2 9 0 0 13 5 0 0 0 4
0 0 0 0 0 0 1 0 0 7 0 0 0 0 0 0 2 9 0 0 13 4 0 0 0 4
0 0 0 0 0 0 1 0 0 7 0 0 0 0 0 0 1 9 0 0 13 4 0 0 0 5
0 0 0 0 1 0 1 0 0 6 0 0 0 0 0 0 1 9 0 0 9 2 0 0 0 4
0 0 0 0 1 1 3 0 1 6 0 0 0 0 0 0 1 9 0 0 9 1 0 0 0 3
0 0 0 0 1 1 3 0 1 4 0 0 0 0 0 0 0 8 0 0 8 1 0 0 0 6
0 1 0 0 1 1 3 0 1 0 0 0 0 0 0 0 0 5 0 0 4 1 0 0 0 9
0 3 0 0 1 1 3 0 1 0 0 0 0 0 0 0 0 4 0 0 4 1 0 0 0 9
0 3 1 0 1 1 3 0 1 0 0 0 0 0 0 3 0 2 0 0 2 1 0 0 0 15
0 3 1 0 1 1 3 0 2 0 0 0 0 0 0 3 0 1 0 0 1 1 1 0 0 16
0 4 1 0 1 1 3 0 2 0 0 0 0 0 0 6 0 0 0 0 0 1 1 0 0 15
0 4 1 0 1 1 2 0 2 0 0 0 0 0 0 8 0 0 0 0 0 0 1 0 0 15
0 4 1 0 1 1 2 0 2 0 0 0 0 0 0 9 0 0 0 0 0 0 1 0 0 16
0 4 1 0 1 1 2 0 2 0 0 0 0 0 0 14 0 0 0 0 0 0 1 0 0 15
0 4 1 0 0 1 2 0 2 0 0 0 0 0 0 19 0 0 0 0 0 0 1 0 0 14
0 4 1 0 0 0 0 0 1 0 0 0 0 0 0 22 0 0 0 0 0 0 1 0 0 14
0 4 1 0 0 0 0 0 1 0 0 0 0 0 0 23 0 0 0 0 0 1 1 0 0 11
0 3 1 0 0 0 0 0 1 0 0 0 0 0 0 23 0 0 0 0 0 1 1 0 0 8
0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 26 0 0 0 0 0 1 1 0 0 8
0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 23 0 0 0 1 0 1 1 0 0 2
0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 23 0 0 0 1 0 2 0 0 0 5
0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 20 0 0 1 1 0 2 0 0 0 5
0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 18 0 0 1 1 0 2 0 0 0 5
0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 17 0 0 1 1 1 2 0 0 0 5
0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 12 0 0 1 1 1 2 0 0 0 5
0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 7 0 0 1 1 1 3 0 0 0 5
0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 4 0 0 1 2 3 3 0 0 0 5
0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 3 0 0 1 2 5 2 0 0 0 5
0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 3 0 0 1 2 6 2 0 0 0 5
0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 2 6 2 0 0 0 5
0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 4 1 1 9 2 0 0 0 6
0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 6 1 1 11 1 0 0 0 3
0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 6 0 1 11 1 0 0 0 3
0 1 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 6 0 1 11 1 0 0 0 3
0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 6 0 1 10 1 0 0 0 2
0 4 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 6 0 1 10 1 0 0 0 2
0 4 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 6 0 1 10 0 0 0 0 2
0 4 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 6 0 0 8 0 0 0 0 2
0 5 0 1 0 1 2 0 1 0 0 0 0 0 0 0 0 6 0 0 6 0 0 0 0 4
0 5 0 1 0 1 2 0 1 0 0 0 0 0 0 3 0 6 0 0 5 1 0 0 0 6
0 5 0 1 0 1 2 0 1 0 0 0 0 0 0 5 0 6 0 0 5 1 0 0 0 6
0 5 0 1 0 1 2 0 1 0 0 0 0 0 0 6 0 2 0 0 2 1 0 0 0 5
0 5 0 1 0 1 2 0 2 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 4
0 5 0 1 0 1 1 0 2 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 5
0 5 0 1 0 0 1 0 3 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 7
0 4 0 1 0 0 1 0 4 0 0 0 0 0 0 8 0 0 0 0 0 1 0 0 0 8
0 2 0 1 0 0 2 0 4 0 0 0 0 0 0 12 0 0 0 0 0 1 0 0 0 8
0 2 0 1 0 0 2 0 4 0 0 0 0 0 0 20 0 0 0 0 0 1 0 0 0 12
0 2 0 0 0 0 2 0 4 0 0 0 0 0 0 21 0 0 0 0 0 1 0 0 0 13
0 1 0 0 0 0 1 0 4 0 0 0 0 0 0 22 0 0 0 0 0 2 0 0 0 11
0 1 0 0 0 0 1 0 4 0 0 0 0 0 0 22 0 0 0 0 0 1 0 0 0 9
0 1 0 0 0 0 1 0 4 0 0 0 0 0 0 21 0 0 0 0 0 1 0 0 0 9
0 1 0 0 0 0 1 0 4 0 0 0 0 0 0 20 0 0 0 0 0 1 0 0 0 9
0 1 0 0 0 0 1 0 4 0 0 0 0 0 3 20 0 2 0 0 0 1 0 1 0 10
0 1 0 0 0 0 1 0 4 0 0 0 0 0 3 20 0 2 0 0 0 1 0 1 0 9
0 0 0 0 0 0 1 0 3 0 0 0 0 0 3 20 0 2 0 0 0 1 0 1 0 7
0 0 0 0 0 0 1 0 2 0 0 0 0 0 3 18 0 2 0 0 0 1 0 1 0 6
0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 14 0 2 0 0 0 1 0 1 0 6
0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 6 0 2 0 0 0 1 0 1 0 2
0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 5 0 2 0 0 0 1 0 1 0 1
0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 5 0 2 0 0 0 0 0 1 0 1
0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 14 0 2 0 0 0 0 0 1 0 1
0 1 0 0 0 1 0 0 2 0 0 0 0 0 3 17 0 2 0 0 0 0 0 1 0 4
0 3 0 1 0 1 0 0 2 0 0 0 0 0 3 20 0 2 0 0 0 0 0 1 0 8
0 3 0 1 0 1 0 0 1 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 8
0 3 0 1 0 1 0 0 1 0 0 0 0 0 0 20 0 0 0 0 0 1 0 0 0 9
0 3 0 2 0 1 0 0 1 0 0 0 0 0 0 20 0 1 0 0 1 1 0 0 0 9
0 3 0 2 0 1 0 0 1 0 0 0 0 0 0 20 0 3 0 0 2 1 0 0 0 9
0 3 0 2 0 1 0 0 1 0 0 0 0 0 0 20 0 3 0 0 3 1 0 0 0 9
0 3 0 2 0 1 0 0 1 0 0 0 0 0 0 20 0 5 0 0 3 1 0 0 0 9
0 3 0 2 0 1 0 0 1 0 0 0 0 0 0 20 0 5 0 0 3 1 0 0 0 9
0 3 0 2 0 1 0 0 1 0 0 0 0 0 0 19 0 5 0 0 3 1 0 0 0 9
0 3 0 2 0 1 0 0 1 0 0 0 0 0 0 7 0 5 0 0 4 1 0 0 0 9
0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 5 0 0 4 1 0 0 0 6
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 5 1 0 0 0 2
0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 5 1 0 0 0 1
0 0 0 1 0 0 1 0 1 0 2 0 0 0 0 0 0 5 0 0 6 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 6 0 0 7 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 4 0 0 8 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 7 0 1 9 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 6 0 1 10 0 0 0 0 0
0 0 0 0 0 0 2 0 1 0 3 0 0 0 0 0 0 8 0 1 10 0 0 0 0 0
0 0 0 0 0 0 2 0 1 0 3 0 0 0 0 0 0 11 0 1 11 0 0 0 0 0
0 0 0 0 0 0 2 0 1 0 3 0 0 0 0 0 0 11 0 1 11 0 0 0 0 0
0 0 0 0 0 1 2 0 2 0 3 0 0 0 0 0 0 11 0 1 11 0 0 0 0 0
0 0 0 0 0 1 2 0 2 0 3 0 0 0 0 0 0 13 0 1 10 0 0 0 0 0
0 0 0 0 0 1 1 0 2 0 3 0 0 0 0 0 0 13 0 2 10 0 0 0 0 0
0 0 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 13 0 2 9 0 0 0 0 0
0 0 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 11 0 2 7 0 0 0 0 0
0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 11 0 2 5 0 0 0 0 0
0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 8 0 1 3 0 0 0 0 0
0 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 0 7 0 1 2 0 0 0 0 0
0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 5 0 1 2 0 0 0 0 0
0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0
0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0
0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 2
0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 3
0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 3 0 1 2 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 3 0 1 2 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 3 0 1 2 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 3 0 1 2 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 1 0 3 0 1 2 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 1 0 3 0 1 2 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 1 0 4 0 1 3 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 4 0 6 0 1 5 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 4 0 6 0 1 5 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 4 0 7 1 1 7 0 0 1 0 3
0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 4 0 7 3 1 7 0 0 1 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 3 0 5 0 0 0 0 1
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 3 0 5 0 0 0 0 1
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 3 0 5 0 0 0 0 1
10 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 4 3 0 5 0 0 0 0 1
10 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 4 3 0 5 0 0 0 0 1
10 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 4 3 0 5 0 0 0 0 1
10 0 0 0 0 0 1 0 0 1 0 0 1 0 0 3 1 4 3 0 7 0 0 0 0 1
10 0 0 0 0 0 1 0 0 4 0 0 1 0 0 0 1 2 3 0 5 0 0 0 0 2
10 0 0 0 0 0 2 1 0 5 0 0 1 0 0 1 1 2 3 0 5 0 0 0 0 3
10 0 0 0 0 0 2 1 0 7 0 0 1 0 0 1 1 1 2 0 5 1 0 0 0 3
10 0 0 0 0 0 2 1 0 12 0 0 1 0 0 1 2 1 0 0 5 2 0 0 0 2
10 0 0 0 0 0 2 1 0 14 0 0 1 0 0 1 2 1 0 0 5 2 0 0 0 2
3 0 1 0 0 0 2 1 0 14 0 0 1 0 0 1 2 1 0 0 5 2 0 0 0 2
3 0 2 0 0 0 2 1 0 14 0 0 1 0 0 1 2 1 0 0 5 2 0 0 0 2
0 0 2 0 0 0 2 1 0 14 0 0 0 0 0 1 2 1 0 0 5 2 0 0 0 2
0 0 2 0 0 0 3 1 0 14 0 0 0 0 0 1 2 1 0 0 5 2 0 0 0 2
0 0 2 0 0 0 4 1 0 14 0 0 0 0 0 3 2 1 0 1 5 2 0 0 0 3
0 0 2 0 0 0 3 1 0 13 0 0 0 0 0 3 1 0 0 1 2 2 0 0 0 3
0 0 2 0 0 0 3 1 0 10 0 0 0 0 0 3 1 0 0 1 2 2 0 0 0 2
0 0 2 0 0 0 2 0 0 9 0 0 0 0 0 2 1 0 0 1 2 2 0 0 0 1
0 0 2 0 0 0 2 0 0 11 0 0 0 0 1 2 1 0 0 1 0 2 0 0 0 2
0 0 2 0 0 0 2 0 0 8 0 0 0 0 1 2 0 0 0 1 0 2 0 0 0 2
0 0 3 0 0 0 2 0 0 6 0 0 0 0 1 2 0 0 0 1 0 2 0 0 0 2
0 0 2 0 0 0 2 0 1 10 0 0 0 0 1 2 0 0 0 1 0 2 0 0 0 2
0 0 1 0 0 0 2 0 1 10 0 0 0 0 1 2 0 0 0 1 0 2 0 0 0 2
0 0 2 0 0 0 2 0 3 11 0 0 0 0 1 2 0 1 0 1 0 2 1 0 0 3
0 0 8 0 0 0 1 0 5 11 0 0 0 0 1 6 0 3 0 1 0 2 1 0 0 5
0 0 9 0 0 0 0 0 5 11 0 0 0 0 1 4 0 4 0 0 0 2 1 0 0 4
0 0 11 0 1 0 0 0 5 11 0 0 0 0 1 4 0 4 0 0 0 2 1 0 0 6
0 0 12 0 1 0 0 0 6 11 0 0 0 0 1 6 0 4 0 0 0 2 1 0 0 6
0 0 12 0 1 0 1 0 6 11 2 0 0 0 1 6 0 4 0 0 3 3 1 0 0 8
0 0 12 0 1 0 2 0 6 7 2 0 0 0 0 6 0 4 0 0 3 2 1 1 0 8
0 0 12 0 1 0 2 0 6 5 2 0 0 0 0 6 0 4 0 0 3 1 1 1 0 8
0 0 11 0 1 0 2 0 7 5 2 0 0 0 0 6 0 4 0 0 3 1 1 1 0 9
0 0 11 0 1 0 2 0 8 2 2 0 0 0 0 6 0 4 1 0 3 1 1 1 0 9
0 0 11 0 1 0 2 0 8 2 2 0 0 0 0 6 0 4 1 0 3 1 1 1 0 9
0 0 10 0 1 0 2 0 6 1 2 0 0 0 0 6 0 3 1 0 3 1 0 1 0 8
0 0 4 0 1 0 2 0 4 1 2 0 0 0 0 2 0 1 1 0 3 1 0 1 0 6
0 0 3 0 1 0 2 0 4 1 2 0 0 0 0 2 0 0 1 0 3 1 0 1 0 7
0 0 1 0 0 0 2 0 4 1 2 0 0 0 0 2 0 0 1 0 3 1 0 1 0 6
0 0 0 0 0 0 3 0 3 1 2 0 0 0 0 0 0 0 1 0 3 1 0 1 0 7
0 0 0 0 0 0 2 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 5
0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4
0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4
0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 3
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 4
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 4 0 1 0 0 0 5
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 4 0 1 0 0 0 5
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 4 0 1 0 0 0 4
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 4 0 1 0 0 0 3
0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 4 0 3 0 0 0 2
0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 1 0 0 4 0 3 0 0 0 2
0 0 0 0 0 0 1 0 0 0 4 0 0 0 1 0 1 0 0 4 0 3 0 0 0 2
0 0 0 0 0 0 1 0 0 0 4 0 0 0 1 0 1 0 0 4 0 3 0 0 0 2
0 0 0 0 0 0 1 0 0 0 4 0 0 0 1 0 1 0 0 4 0 2 0 0 0 2
0 0 0 0 0 0 1 0 0 0 4 0 0 0 2 0 1 0 0 4 0 2 0 0 0 2
0 0 0 0 0 0 1 0 0 0 4 0 0 0 2 0 0 0 0 4 0 2 0 0 0 1
0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0
0 0 0 0 0 0 0 0 0 1 7 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0
